ministry_code,tasnif_code,english_description,dari_description,pashto_description
,090024,Contingency Funds for land purchase, وجوه برای خریداری زمین,د ځمکې د اخیستلو لپاره احتیاطي وجوه
,090036,Funds for the safety of strategic projects, وجوه برای محافظت پروژه های استراتیژیک,د استراتیژيکو پروژو د ساتنې لپاره وجوه
,090050,Funds for preserving and caring , وجوه  برای حفظ و مراقبت,د حفظ او مراقبت لپاره وجوه
,090081,Funds for Emergency and Unpredictable Expenses, وجوه برای مصارف عاجل و پیشبینی نشده,د بېړنیو او نه وړاندوینه شویو لګښتونو لپاره وجوه
,090008,Membership of ministries in international organizations, عضویت وزارت ها در سازمان های بین المللی , په نړیوالو سازمانونو کې د وزارتونو غړیتوب
,090084,Paying  previous years' debts, پرداخت مقروضیت ها سال های گذشته, د تیرو کلونو د پورونو ورکړه
,090085,"Funds for the  non-recruited employees  of the General Directorate of Intelligence, Ministry of National Defense, Ministry of Interior Affairs and Ministry of Education for the fiscal year 1402",وجوه برای  تشکیل استخدام نه شده  سال مالی 1402  ریاست عمومی استخبارات و وزارتهای دفاع ملی، امور داخله و معارف , په 1402 مالي کال کې د استخباراتو لوی ریاست د ملي دفاع، کورنیو چارو او پوهنې وزارتونو د نه استخدام شوي تشکیل لپاره وجوه
Development Budget Projects,,,,
113,‍130188,Dar ul-Aman administrative complex program,برنامه کمپلکس اداری دارالامان,د دارالامان اداري کمپلکس پروګرام
,"130,208",Construction of Qosh Tepah Canal,کانال قوش تپه,اعمار کانال قوش تیپه
,"130,215",Qosh Tepa Canal Project,پروژه کانال قوش تپه,د قوشتپې کانال پروژه
,"130,217",Restoration of the islamic culture centre building in Ghazni province.,ترمیم ساختمان های مرکز فرهنگ اسلامی ولایت غزنی,د غزنی ولایت د اسلامی ثقافت مرکز د ودانیو ترمیم
,"130,208",Reconstruction and restoration of historical monuments,باز سازی و مرمت آبدات تاریخی (مربوط اداره امور),د تاریخي اثارو بیارغونه او بحالي
,"130,217",Restoration of the islamic culture centre building in Ghazni province.,ترمیم ساختمان های مرکز ثقافت اسلامی در ولایت غزنی,د غزنی ولایت د اسلامی ثقافت مرکز د ودانیو ترمیم
114,"140,006",Rehabilitation and Construction of Primary and Appeal courts in Provinces,اعمار وترمیم اساسی محاکم ابتدائيه ومرافعه در ولایات,
115,"150,004",Purchase of military equipment and vehicles,خریداری تجهیزات نظامی و وسایط,د نظامي تجهیزاتو او وسایطو پېرل
,"150,008",Protection of Security places,تحکیم کاری محلات امنیتی,د امنیتي ځایونو محکمول
,"150,017",Construction of Building,اعمار ساختمانها,د ساختمانونو جوړول
120,"200,122",Modernization of customs (second part) and construction of customs facilities and construction of domestic customs stations,عصری ساختن گمرکات (بخش دوم) و اعمار تاسیسات گمرکی و احداث ستیشنهای گمرکی داخلی,د ګمرکونو عصري کول ( دویمه برخه ) او دګمرکونو د تاسیساتو جوړول، او د ګمرکي سټیشنونو منځته راوړل
,"200,187","Development, improvement and maintenance of the national budget planning and implementation system",انکشاف ، بهبود و مراقبت سیستم پلانگذاری و اجرای بودجه ملی (SBPS),د ملي بودیجې د اجراء او پلان  د سیستم پرمختګ،ښه والی او پاملرنه
,"200,232",Repairs and Construction of Buildings of Directorate General Properties in Center and Provinces,ترمیمات اسای واعمار تعمیرات ریاست عمومی املاک در مرکز وولایات,
,"200,237","Budgeting, planning and coordination of foreign aid in all government entities",بودجه سازی، پلانگذاری و انسجام کمک های خارجی در تمام ادارات دولتی  (MBAW),په ټولو دولتي اداراتو کې بودیجه جوړونه، پلان جوړونه او د بهرنیو مرستو انسجام 
,"200,265",Tax Academy,اکارمی مالیاتی,
,"200,264",Non Tax Revenue,پروژه عواید غیر مالیاتی (NTR),
,"200,273",System development of Sektas and capacity building of Revenue Department,پروژه انکشاف سیستم سکتاس وارتقای ظرفیت کارمندان ریاست عواید,
,"200,282","Construction, Expansion and Acquisition of Fixed Asset for MoF",ساختمان توسعه وکسب دارایی های ثابت برای وزارت مالیه,
,"200,291",Air Corridor for Balancing Trade of Afghanistan,دهلیز هوایی برای توازن تجارت ,
,"200,292",Pension Reform safety net Project,پروژه ریفورم تقاعد ومصونیت اجتماعی,
,"200,299","Connection of Fiber Optic in five Mustofiats
",نصب قایبر نوری درپنچ مستوفیت,
,"200,303"," 
Printing Passports and Securities",چاپ پاسپورت واوراق بهادار,
,"200,307",The project of purchasing technological devices and office equipment of the General Directorate of Revenue,پروژه خریداری  وسایل تکنالوژی و تجهیزات دفتری ریاست عمومی عواید ,د عوایدو د عمومي ریاست د تکنالوژی وسایلو او دفتري تجهیزاتو د اخیستلو پروژه
,"200,308",The project of repairing of the tax areas of the smal and large Taxpayer's Office in center,پروژه ترمیم حوزه های مالیاتی ریاست مالیه دهنده گان کوجک و بزرگ مرکز ,د مرکز د کوچنیو او لویو مالیه ورکوونکو د ریاست د مالیاتو د بیارغولو پروژه
,"200,309",The project of  awareness and capacity building and improving the systems of the General Directorate of Revenue,پروژه اگاهی دهی و ارتقا ظرفیت و بهبود سیستم های ریاست عمومی عواید ,د پوهاوي، ظرفیت لوړول او د عوایدو عمومي ریاست سیسټمونو وده ورکولو پروژه 
,"200,310",The project of equipping Mustofiats with solar power system,پروژه تجهیز مستوفیت ها به سیتم برق افتابی ,د مستوفیتونو  لمریزې برېښنا سیستم سمبالولو پروژه
,"200,311",The project for purchase of technological devices and office equipment in Mustofiats on provincial bases,پروژه خریداری  وسایل تکنالوژی و تجهیزات دفتری  مستوفیت های در سطح ولایات , په ولایتی سطح کی د مستوفیتونود تکنالوژی وسایلو او تجهیزاتو د پېرلو پروژه
122,"220,182",The construction of air defenses and the construction of border shells,اعمار مفرزه های هوائی,د سرحدي پوستو او  هوایي تاسیساتو جوړول 
,"220,183",Creating infrastructure and systematization for the Finance Department of the Ministry of Defense,ایجاد زیربنا و سیستم سازی برای ریاست مالی وزارت دفاع,د دفاع وزارت مالي ریاست لپاره د زیربنا او سیستم جوړونې رامنځ ته کول
,"220,184",Construction of Mosques in the Center and Provinces,اعمار مساجد درمرکز وولایات,
123,"230,118",The project to strengthen the distribution of passports and Tazkira of Afghan nationals living abroad,پروژه تقویت توزیع پاسپورت و تذکره های اتباع افغانستان مقیم خارج,بهر مېشتو افغانانو لپاره د پاسپورټ او تذکرو د ویش د پیاوړتیا پروژه 
,"230,112",Afghan students incentive studying abroad,مدد معاش محصلین در خارج از کشور,
,"230,033",Construction of Administrative Buildings and Archieve for Ministry of Foreign Affairs,پروژه اعمار تعمیرات اداری وارشیف ,
124,"240,023",Engineering and supervision unit of construction projects,واحد انجنیری ونظارت از پروژه های ساختمانی,د پرمختیایي پروژو د څارنې او انجینرۍ څانګه
,"240,008",Construction of Mosques,اعمار مساجد,د جوماتونو جوړول
125,"250,157",Supporting from industrial parks,حمایت از پارکهای صنعتی,د صنعتی پارکونو څخه ملاتړ
,"250,158",Initiative Industries,صنایع خلاق,
,"250,163",Support for carpet exporters (payment of 6% subsidy),,
,"250,164",Construction of the electricity distribution system of the fourth phase of the industrial park,اعمار سیستم توزیع برق فاز چهارم پارک صنعتی,د صنعتی پارکونو د برښنا د سیستم توزیع د څلورم فاز جوړول
,"250,165","Creating a commercial area with a width of 100 meters and a length of 3000 meters in  Industrial Park,Dorahi Haritaan, Balkh province",ایجاد ساحه تجارتی در عرض 100 متر و طول 3000 متر در پارک صنعتی دوراهی حیرتان ولایت بلخ,د بلخ ولایت د حیراتانو په دوه لارې صنعتي پارکونو کې د سوداګریزی ساحې جوړول چې سور ېې ۱۰۰ متره او اوږدوالی ېې ۳۰۰۰ متره کی
,"250,167",Creating a commercial area in the industrial park of Khost province,ایجاد ساحه تجارتی در پارک صنعتی ولایت خوست,د خوست ولایت په صنعتي پارکونو کې د سوداګریزې ساحې جوړول 
,"250,155",Intenational Trede Support,تجرات بین المللی,
,"250,080",Business Environment Support,حمایت از محیط تجارت کار بار,
,"250,084",Provincial Commercial Development,پیشرفت ولایتی,
126,"260,299",Strengthening the distribution system of computerized passports and purchasing equipment,تقویت سیستم توزیع پاسپورت های کمپیوتری وخریداری تجهیزات,د کمپیوټري پاسپورتونو د ویش سیستم پیاوړي کول او د تجهیزاتو پيرودل
,"260,342",Creating and strengthening financial systems in the Ministry of Interior,ایجاد و تقویت سیستم های مالی در وزارت امور داخله,د کورنیو چارو په وزارت کې د مالي سیسټمونو رامینځته کول او پیاوړتیا
,"260,349",The project of increasing the revenue of the passport department,پروژه طرح افزایش عواید ریاست پاسپورت,د پاسپورت ریاست د عوایدو د زیاتوالي طرحې پروژه 
,"260,350",Dayak General Management Revenue Increase Project,پروژه طرح افزایش عواید مدیریت عمومی دایاک,د د ایاک مدیریت د عوایدو د زیاتوالي طرحې پروژه 
,"260,354",technical project for detection of crime, پروژه تخنیکی در کشف جرم,د جرمونو کشفولو تخنیکی پروژه 
,"260,355",construction of the administrative complex of the provincial security commands (Khost&Helmand),اعمار تعمیر  کمپلکس اداری قوماندانی های امنیه ولایات (خوست و هلمند),د امنیه قوماندانی د اداری کمپلکس جوولو پروژه ( خوست و هلمند)
,"260,356",construction of &nbsp;complex of the for border police in airports.,اعمار تعمیرهای پولیس سرحدی میدان هوایی,په میدان هوای کی سرحدی پولیسو لپاره د تعمیرونو جولول
,"260,357","construction of mosques at the security commands in provinces (Panjshishir ,Logar and Helmand)",اعمار تعمیر مساجد در سطح قوماندانی ها امنیه در ولایات  ( پنجشیر، لوگر، هلمند),د ولایتونو د امنیه قومندانی په کچه د جوماتونو جولول ( پنشیر ، اوگر او هلمند)
,"260,358",construction of fire fighting station in provinces Nimrouz and Baghlan.,اعمار تعمیر های مراکز اطفایئه وی ولایات  (نیمروز و بغلان),په ولایتونو کی د اور وژنی د مرکزونو جولوول 
,"260,359",Preparation and procurement of electronic tools and equipment needed to General Directorate of Traffic Police,تهیه و تدارک وسایل و تجهیزات الکترونیکی مورد نیاز ریاست عمومی پولیس ترافیک,د ترافیکو پولیسو د عمومي ریاست د اړتیا وړ الکترونیکي وسایطو او تجهیزاتو تدارکات چمتوکول
,"260,360",Construction Of The Administrative Building And masjid -E -Sharif in Zabul Province,اعمار مسجد شریف وتعمیر اداری مقام ولایت زابل,
127,"270,332",Construction and equipment of public education schools,اعمار و تجهيز مکاتب تعليمات عمومی,د عمومي تعلیماتو د ښوونځیو رغونه او تجهيز
,"270,335",Construction of Schools and Dormitories for Kochies.,اعمار مکاتب ولیلیه برای کوچیان,
,"270,383",Education Infrastructure Development,انکشاف زیر بنای تعلیم وتربیه,
,"270,387",General Education (Including EQUIP),تعلیمات عمومی (بشمول EQIP),
,"270,389",Islamic Education,تعلیمات اسلامی,
,"270,638",reconstruction of dormitory for teacher traning centers,اعمار لیلیه برای دارالمعلمین ها,
,"270,773",Rehabilitation of sayed jamaludin Teacher Traninin in kabul,باز سازی وترمیم مرکز تربیه معلم سید جماالدین در کابل,
,"270,894",unconditional Fund for Provinces,وجوه غیرمشروط ولایات,
,"270,796",Development projects for 11 North and West border provinces,پروزه های انکشافی 11 ولایت سرحدی شمال وغرب,
,"270,897",Construction of Schools in Seven Big Cities,اعمار مکاتببرای تیز هوشان در هفت شهر بزرک,
,"270,910",Salaries of employees studying abroad,معاشات کارمندان مصروف تحصیل در خارج از کشور, د هېواد څخه بهر په زده کړو بوخت کارکوونکو معاشات
,"270,911",Repair construction for the headship of testimonials,اعمار تعمیر برای ریاست شهادتنامه ها ,د شهادت نامو ریاست لپاره د تعمیر جورول
,"270,912",Preparation and purchase of equipment for presiding over certificates,تهیه و خریداری تجهیزات برای ریاست شهادتنامه ها ,د شهادت نامو ریاست لپاره د تجهیزاتو چمتو کول او پیرود
,"270,828",Construction of schools in central of Zabul province,اعمار مکاتب معارف در مرکز ولایت زابل,
,"270,895",hiring of female teachers,استخدام معلمین اناث در روستای ها ,
,"270,892",Development and strengthening literacy programs,انکشاف وتقویت برنامهای سواد آموزی وارتقای سویه تحصیلی معلمین دوازده پاس وچهارده پاس,
,"270,896",Completion of Incomplete remaining Equip Schools,تکمیل پروژه های باقیمانده مکاتب ناتکمیل اکویب,
128,"280,308","Construction and repair of the cancer treatment center  at Aali Abad Hospital, Kabul Medical University",اعمار تعمیر مرکز تداوی سرطان  واقع شفاخانه عالی آباد پوهنتون طبی کابل,د کابل طبي پوهنتون د علي آباد روغتون ته څیرمه د سرطان د درملنې مرکز  تعمیر جوړول 
,"280,326",Salaries of professors and employees studying abroad,معاشات اساتید وکارمندان مصروف  تحصیل در خارج از کشور, د هېواد څخه بهر په زده کړو بوخت استادانو او کارکوونکو معاشات
,"280,327",  Doctoral program, برنامه دکتورا ,د دکتورا  برنامه  
,"280,328",Master's program,برنامه ماستری,د ماسټرۍ برنامه 
,"280,329",Publishing books on Islamic culture for educational institutions and universities,چاپ کتب ثقافت اسلامی برای موسسات تحصیلی و  پوهنتون ها,د پوهنتونونو او تحصیلي موسساتو لپاره د اسلامي ثقافت کتابونو چاپ
,"280,330",Activation of 10 cafeterias and 30 canteens in different universities,فعال سازی 10 کافتریا و 30 کانتین در پوهنتون های مختلف,په مختلفو پوهنتونونو کې د ۱۰ کافتریاوو او ۳۰ کانتینونو فعالول 
,"280,331",Development of electronic learning management system (LMS) and digital library (DL),انکشاف سیستم مدیریت آموزش الکترونیکی یا (LMS) و کتابخانه دیجیتلي (DL),د بریښنایي زده کړو د مدیریت (LMS) او ډیجیټلي کتابتون (DL) وده
,"280,332",Capacity building of technical and professional departments,ظرفیت سازی بخش های تخنیکی و مسلکی ,د تخنیکي او مسلکي برخو ظرفیت جوړونه
129,"290,241",For the operation of the consortium to select the beneficiaries according to Decree 305,جهت فعالیت کانسرسیوم برای انتخاب مستحقین بر اساس فرمان 305,د ۳۰۵ فرمان له مخې د دکانسرسیوم فعالیتونو په موخه د متسحقینو انتخاب
,"290,128",Ensuring of technical and basic social services for established towns for returnees,تامین خدمات تخنیکی اساسی واجتماعی شهرک های افتتاح شده عودت کننده گان,
,"290,234",Reintegration of Internal Displaced People,استقرار پایدار بیچاشده گان داخلی,
132,"320,090",Construction of Building and its Equipping in Kabul and provinces,اعمار تعمیرات و تجهیزات آن در مرکز و ولایات ,په مرکز او ولایتونو کې د ودانیو او د هغوې د تجهیزاتو برابرول 
,"320,112",Program Support Unit PSU,واحد حمایوی برنامه ها PSU,د PSU پروگرامونو د ملاتړ واحد
,"320,124",Mes Ainak Project,معدن مس عینک ,د عینک د مسو پروژه
,"320,125",Feasibilty Study for TAPI project, مطالعات تخنیکی تاپی,له ترکمنستان څخه افغانستان، پاکستان او هندوستان ته د غازو د نل لیکي د تخنیکي څیړنو پروژه (TAPI)
,"320,159",Drilling of two extraction wells in Yatim Taq gas field and purchase of sulfur extraction machine in gas mining field.,حفاری دو حلقه چاه استخراجی در ساحه گازی یتیم تاق و خریداری دستگاه تجرید سلفر در ساحه معدن گازی ,د یتیم تاق د ګازو په سیمه کې د دوو استخراجې څاه ګانو کیندل او د سلفرو دستګاه پېرل
,"320,160",Geological studies and mapping survey investigations and biological environmental geology studies,مطالعات جیولوجی و تفحصات سروی نقشه برداری و مطالعات جیولوجی محیطی زیستی,د چاپېریال جیولوجي مطالعات او د نقشې جولولو عمومي سروې 
,"320,161",Construction project of 94.5 kilometers gas pipeline from Sheberghan to Mazar Sharif,پروژه احداث 94.5 کیلو متر پایپ لاین گاز شبرغان الی مزار شریف,د مزار شریف څخه تر شبرغان پورې د ګاز پایپلاین جوړول د ۹۴.۵ کیلو مترو په اوږدوالي 
133,"330,001",Social protection reform,ریفورم مصؤنیت اجتماعی,د ټولنیز خوندیتوب ریفورم
,"330,006",System development,انکشاف سیستم ,د سیستم پراختیا
134,"340,015",Development Of ICT Afghanistan (E-Governance) (Bankable),توسعه تکنالوژی معلوماتی افغانستان (حکومتداری الکترونیکی),
,"340,086",Devolepment Of Hot Spot Stand By For Data Center And Devolepment Of Center For Internet Exchange Point,ایجاد بک آپ برای دیتا سنتر وتامین تجهیزات مایکرویف برای مرکز تبادله انترنت,
,"340,091",Government Electronic Information Source Center,مرکز منابع معلومات حکومتداری الکترونیکی ,
,"340,105",Change of Afghanistan information system in to iCloud,تبدیل نمودن مرکز ملی معلومات افغانستان به زیر بنا,
,"340,110",Asan Khidmat Project,پروژه اسان خدمت,
,"340,116",Project Implementation Unit-Ministry Reforms,واحد تطبیق پروژه  ریفورم های وزارت,
,"340,103",Creation of  Internet Exchange Center (NIXA),ایجاد مرکز تبادله انترنت,د انترنت د تبادلې مرکز جوړونه (NIXA)
,"340,124",Creating cloud infrastructure and developing systems,ایجاد زیر بنای کلود,د کلود د جوړولو زیربنا پروژه 
,"340,125",Infrastructure development and protection of Afghanistan's National Information Center,انکشاف زیر بناه مصون ساختن مرکز ملی معلومات افغانستان,د افغانستان د ملي معلوماتو د مرکز خوندیتوب او د زیربناء وده
,"340,126",Improving the capacity of digital governance and paying the salaries of internal technical support employees,ارتقای ظرفیت حکومتداری دیجیتلی وپرداخت معاشات کارمندان (NTA),د ډیجیټلي حکومتولۍ ظرفیت لوړونه او د داخلي مرستندویه تخنیکي کارکوونکي معاشاتو ورکړه
,"340,127","The Facilitation, Innovation and Initiative Center Project",مرکز تسهیل، نوآوری و ابتکار,د آسانتیا، نوښت او ابتکار مرکز
135,"350,077","Fundamental strengthening of the basic duties of the Ministry of Economy (planning and evaluation, economic analysis, sustainable development goals and transparency and accountability of non-governmental organizations)",تقویت بنیادی وظایف اساسی وزارت اقتصاد(پلان گزاری وارزیابی،تحلیل های اقتصادی ؛اهداف انکشاف پایدار وشفافیت وحسابدهی موسسات غیر دولتی,د اقتصاد وزارت د اساسي دندو بنسټیزه پياوړتیا (پلان جوړونه او ارزونه، اقتصادي تحلیلونه، د ثابتې پراختیا موخې او د غیردولتي مؤسساتو شفافیت او حساب ورکونه)
136,"360,294","Modernization of broadcasting, equipments and technical devices of radio and television",مدرن سازی نشرات، تجهیزات و وسایل تخنیکی رادیو تلویزیون,د رادیو تلویزیون د نشراتو، تجهیزاتو او تخنیکی وسایلو ماډرن کول
,"360,295","Basic restoration of three water reservoirs in Ahmed Shahi, Kandahar",ترمیم اساسی سه حوض های آب در احمد شاهی قندهار,د کندهار احمد شاهي کې  د دریو حوضونو اساسي ترمیم
,"360,296",Basic repair of the house of the great emperor Ahmad Shah Baba,ترمیم اساسی منزل امپراتور بزرګ احمد شاه بابا, د لوی امپراتور احمد شاه بابا کور ترمیمول 
,"360,297",Creation of Beyhaqi bookstall,ایجاد غرفه کتب بیهقی,د بېهقې کتابونو د غرفې جوړول
,"360,298",Construction of  Hotel and Guest House in Zazai Ariob National Amusement Park,اعمار هوتل و مهمانخانه در پارک ملي تفریحی ځاځی آریوب,د ځاځي اریوب په ملي تفریحي پارک کې د هوټل او میلمستون جوړول
,"360,299",Constrution of  Hotel and Guest House in ancient area of Jam minaret ,اعمار هوتل و مهمانخانه در ساحه منار باستانی جام,د جام منار په لرغونې سیمه کې د هوټل او میلمستون جوړول
,"360,300",Construction of  Hotel and guest house for tourists in Nuristan province,اعمار هوتل و مهمانخانه برای سیاحین در ولایت نورستان,په نورستان ولایت کې د سیلانیانو لپاره د هوټل او میلمستون جوړول 
,"360,301","Construction of  Hotel in Sayad Amusement Park, Kapisa province",اعمار هوتل در پارک تفریحی  صیاد ولایت کاپیسا,د کاپسا ولایت په صیاد تفریحي پارک کې د هوټل جوړول
,"360,302",Purchase of equipment for the national radio and television station,خریداری تجهیزات ستدیو ترنم رادیو تلویزیون ملی,د ملي راډیو او تلویزیون سټیشن لپاره د تجهیزاتو پیرود
,"360,303",Development of the tourism industry for tourists in the center and provinces,توسعه صنعت توریزم برای سیاحین در مرکز و ولایات,په مرکز او ولایتونو کې د ګرځندویانو لپاره د ګرځندوی صنعت پراختیا
,"360,304","Construction of solar system for (15) national radio and television provinces (Balk, Kandahar, Nangarhar, Herat, Zabul, Helmand, Khost, Paktia, Paktika, Ghazni, Logar, Baghlan, Kunar, Nuristan Lag",خریداری تجهیزات مختلف رادیو تلویزیون ملی ورادیو تلویزیون تعلیمی وتربیتی (تجهیزات تلویزیون ، رادیو ، برق ، فرستنده وانترنت ) برای مر کز و33 ولایت ,د ملي راډیو او ټلویزیون د بیلابیلو وسایلو او د تعلیمي او تحصیلي راډیو او ټلویزیوني وسایلو (د مرکز او ۳۳ ولایتونو لپاره د ټلویزیون، راډیو، بریښنا، ټرانسمیټر او انترنیټ وسایلو) اخیستل
,"360,305",Construction of radio and television studios in Sarpol and Faryab provinces with equipment.,اعمار استدیو رادیو تلویزیون ملی در ولایات سرپل و فاریاب با تجهیز ات ,په سرپل او فاریاب ولایتونو کې د تجهیزاتو سره د راډیو او تلویزیون سټوډیوګانو جوړول
,"360,308","Construction of solar system for (15) national radio and television provinces ((Balk, Kandahar, Nangarhar, Herat, Zabul, Helmand, Khost &nbsp;Paktia Paktika, Ghazni, Logar, Baghlan, Kunar, Nuristan Lag",ساخت وساز سیستم سولری برای (15) ولایت رادیو تلویزیون ملی(بلخ،کندهار،ننگرهار،هرات، زابل، هلمند، خوست، پکتیا،پکتیکا، غزنی،لوگر،بغلان،کنر،نورستان ولغمان ),د (۱۵) ملي راډیوګانو او تلویزیونونو لپاره د سولر سیسټم جوړول.(بلخ، کندهار، ننګرهار، هرات، زابل، هلمند، خوست، پکتیا، پکتیکا، غزني، لوګر، بغلان، کنړ، نورستان او لغمان)
137,"370,188", Afghanistan medical forensic strengthening,تقویت طب عدلی افغانستان,د افغانستان د عدلي طب تقویه کول 
,"370,442",Creating mobile eye care camps,ايجاد کمپ های سيار مراقبت چشم, د سترګو د پاملرنې لپاره د سیارو کمپونو جوړول
,"370,546",Disability and rehabilitation,معلولیت و بازتوانائی,معلولیت او بیا پیاوړتیا
,"370,646",Intencive Care Unit (I C U ),بخش مراقبت عاجل   I C U,د عاجل مراقبت څانګه I C U
,"370,727",Medical equipment purchase project,‍‍‍پروژه خریداری تجهیزات طبی,د طبي توکو د پېرلو پروژه
,"370,762",Development of measures to strengthen the health system and its interventions to improve the field of health services,توسعه اقدامات تقویت سیستم صحی ومداخلات آن دربهبودعرصه خدمات صحی,د روغتیايي خدمتونو د تر سره کولو د ښیګڼې په موخه د صحي سیستم پیاوړتیا او د اقداماتو پراختیا 
,"370,769",Equipping and activating parenteral fluids factory,تجهیز وفعال سازی فابریکه محلولات زرقی,د زرقی محلولاتو د فابریکی جوړول او تجهیزول
,"370,839",National Cancer Control Program,برنامه ملی کنترول سرطان,د سرطان د تشخیص ملي پروګرام
,"370,867",Equipping and activating the National Superspeciality Hospital,تجهیز وفعال سازی شفاخانه ملی فوق تخصصی,د فوق تخصصي روغتون فعالول او تجهیز
,"370,881",Strengthening the National Health Care Accreditation Authority,تقویت اداره  ملی اعتباردهی مراقبت های صحی,د روغتیایي پاملرنې اعتبار ورکولو ملي ادارې پياوړتیا 
,"370,883",Strengthening the Council of  Nurses and Midwives od Afghanistan,تقویت شورای نرس ها وقابله های افغانستان,د افغانستان د نرسانو او قابلو د شورا پیاوړتیا
,"370,893",The project of providing health services for nomads and returnees,پروژه عرضه خدمات صحی برای کوچیها  و عودت کننده گان,د کوچیانو او بیرته راستنیدونکو لپاره د روغتیا خدماتو پروژه
,"370,895","Hemodialysis project, kidney diseases and urinary system",پروژه هیمودیالیز، امراض کلیه و سیستم اطراحی (Urinary system),هیموډالیسز، د پښتورګو او ادرار سیسټم د درملنې پروژه
,"370,897",Providing health services for the nomads of the southern zone,عرضه خدمات صحی برای کوچیهای زون جنوب,د سویلي زون کوچیانو لپاره د روغتیایي خدماتو وړاندې کول
,"370,898",Creating cafeterias in hospitals,ایجاد کفتریا در شفاخانه ها,په روغتونونو کې د کافتریا جوړول
,"370,899",Jamhoryt hospital reform,ریفورم شفاخانه جمهوریت,د جمهوریت روغتون ریفورم
,"370,900",Construction of 350 bed Hospital Merwiase kandahar,اعمار شفاخانه ۳۵۰ بستر شفاخانه حوزوی میرویس ولایت کندهار,په کندهار ولایت کې د میرویس ۳۵۰ بستریز روغتون  جوړونه
,"370,904",Construction of serounding wall &nbsp;Hospitals and Mosque,اعماردیوارهای احاطه شفاخانه صحت طفل واعماریک باب مسجد ،واحاطه سه قطعه زمین سفید د ساحات مختلف شهر کابل,اعمار دیوار احاطه شفاخانه ها ومسجد شریف 
,"370,905",Construction of Ambulance building,اعمار تعمیر مرکز امبولانس,اعمار تعمیر مرکز امبولانس 
,"370,906",Construction of CHC at Qoosh Tepa District at jawzjan province,اعمار مرکز (سی اچ سي+) صحی قریه گردن ولسوالی قوش تپه ولایت جوزجان,اعمار مرکز CHC قریه گردان ولسوالی قوش تیپه ولایت جوزجان 
,"370,907",Supply of &nbsp;Medical equipment for Health Service Delivery in Indraghandi Hospital,اکمال تجهیزات طبی جراحی قلبی جهت  توسعه عرضه خدمات صحت طفل اندراگاندی ,اکمال تجهیزات طبی جراحی قلبی جهت توسعه عرضه خدمات صحت طفل اندراگاندی 
,"370,908","Activation of the quality control laboratory of food, spices and medicinal products in the provinces (Nangarhar, Balkh, Kandahar and Herat)",فعال سازی لابراتوار کنترول کیفیت غذا، ادویه و محصولات دوایی در ولایات ( ننگرهار، بلخ، کندهار و هرات),فعال سازی لابراتوار کنترول کیفیت غذا ادویه و محصولات دوایی درولایات (ننگرهار، بلخ، کندهار و هرات) 
,"370,909",Afghanistan medical councel,تقویت شورای طبی افغانستان,د افغانستان طبي شورا پياوړتیا 
,"370,910",Strenghening &nbsp;National medicine and healthcare product regulatory Authority,تقویت اداره ملی تنظیم ادویه وغذا افغانستان,دخورو او درملو ملی اداره پياوړتیا 
